mode,phase_mean,phase_mean,phase_mean,phase_mean,phase_mean,phase_mean,phase_std,phase_std,phase_std,phase_std,phase_std,phase_std,phase_min,phase_min,phase_min,phase_min,phase_min,phase_min,phase_median,phase_median,phase_median,phase_median,phase_median,phase_median,phase_max,phase_max,phase_max,phase_max,phase_max,phase_max,stop_mean,stop_mean,stop_mean,stop_mean,stop_mean,stop_mean,duration_sec,duration_sec,duration_sec,duration_sec,duration_sec,duration_sec
,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max
attention,10,39.64414,7.449694774239636,33.0952,35.16935,54.1741,10,20.37363,20.59886741498452,1.386,7.43205,59.5743,10,30.07694,1.4235124112170185,27.7021,30.15495,31.8921,10,32.33432,0.8711076267220554,30.8115,32.52995,33.2904,10,89.71052,58.30852570629597,36.056,53.36295,201.225,10,172.6325,3.8896807743909605,166.3222,174.86610000000002,176.6531,10,64.50746772289276,0.3408615544757985,64.05532884597778,64.73807108402252,64.80949330329895
monitor,10,68.59746,5.540011764768896,63.8116,66.01245,76.896,10,14.36284,16.222277268086213,1.3842,7.559699999999999,37.9607,10,61.72954,1.2174638513456295,59.7732,61.7709,63.7381,10,63.62144000000001,0.6913112551923025,62.7815,63.50595,64.778,10,103.58511000000001,46.00372588310284,66.9899,84.88915,170.2182,10,171.36151,4.137589727378866,164.4611,172.87495,175.24,10,64.6318184375763,0.2878993984216671,64.23800086975098,64.80359733104706,64.91209983825684
relax,10,38.41302,7.263824536671819,32.3243,34.8233,49.6846,10,15.6598,16.907449960627154,1.5585,8.0039,41.1165,10,30.526120000000002,0.8975663179459838,28.7478,30.634900000000002,31.8351,10,32.46907,0.45562818186665327,31.8615,32.4005,33.5319,10,76.536,48.83112338735523,34.8711,54.397450000000006,149.8621,10,173.12809,2.891744257345194,167.614,173.49385,176.3,10,64.50622415542603,0.3337988635314904,64.07150912284851,64.71244394779205,64.8103289604187
simulation,10,39.043040000000005,6.7828546322818,32.6886,36.343149999999994,49.4276,10,14.41119,14.66244942448036,1.1608,8.08475,38.6659,10,30.37879,1.2424966312943386,27.5609,30.48035,32.2061,10,33.54968,1.068706408909597,32.4445,33.2186,35.0899,10,72.41422,42.97243735348921,34.261,53.35795,143.4708,10,172.22108,3.4279574072940675,166.7008,173.50065,175.8482,10,64.32410447597503,0.27477006857883285,64.04219794273376,64.20849990844727,64.73685812950134
