t_session_sec,abs_ts,source,kind,key,value,info
18.6505,1785919165.896183,unity,sync,phase_ack,0,scene=Game_Simulation3D | unity_ts=1785919165.874469 | recv_ts=1785919165.896183 | seq=13 | transport_ms=21.714 | info=A
18.6505,1785919165.896183,system,latency,phase_ack_transport_ms,21.7140,phase=A trial=2 ack_seq=13 unity_phase=A
18.6505,1785919165.896183,system,latency,phase_ack_latency_ms,36.7689,phase=A trial=2 send_seq=191 ack_seq=13 unity_phase=A
23.6665,1785919170.912186,matlab,phase,phase_a_end,2,
23.6675,1785919170.913241,matlab,phase,phase_b_start,2,dur=10s | send_seq=256
23.7136,1785919170.959330,unity,trial,trial_start,2,scene=Game_Simulation3D | unity_ts=1785919170.927181 | recv_ts=1785919170.959330 | seq=14 | transport_ms=32.149 | info=simulation
23.7141,1785919170.959760,unity,marker,aim_start,0.6500,scene=Game_Simulation3D | unity_ts=1785919170.927181 | recv_ts=1785919170.959760 | seq=15 | transport_ms=32.578 | info=simulation
23.7143,1785919170.960047,unity,sync,phase_ack,1,scene=Game_Simulation3D | unity_ts=1785919170.927181 | recv_ts=1785919170.960047 | seq=16 | transport_ms=32.866 | info=B
23.7143,1785919170.960047,system,latency,phase_ack_transport_ms,32.8655,phase=B trial=2 ack_seq=16 unity_phase=B
23.7143,1785919170.960047,system,latency,phase_ack_latency_ms,46.8061,phase=B trial=2 send_seq=256 ack_seq=16 unity_phase=B
26.1559,1785919173.401566,unity,marker,state_dropped,0.6472,scene=Game_Simulation3D | unity_ts=1785919173.319031 | recv_ts=1785919173.401566 | seq=17 | transport_ms=82.535 | info=simulation
27.1785,1785919174.424157,unity,marker,state_dropped,0.6424,scene=Game_Simulation3D | unity_ts=1785919174.343417 | recv_ts=1785919174.424157 | seq=18 | transport_ms=80.739 | info=simulation
28.1999,1785919175.445638,unity,marker,state_dropped,0.6433,scene=Game_Simulation3D | unity_ts=1785919175.364975 | recv_ts=1785919175.445638 | seq=19 | transport_ms=80.663 | info=simulation
30.2422,1785919177.487880,unity,marker,state_above_threshold,0.8249,scene=Game_Simulation3D | unity_ts=1785919177.415039 | recv_ts=1785919177.487880 | seq=20 | transport_ms=72.841 | info=simulation
30.2425,1785919177.488238,unity,marker,auto_fire,8,scene=Game_Simulation3D | unity_ts=1785919177.415039 | recv_ts=1785919177.488238 | seq=21 | transport_ms=73.199 | info=simulation
30.2428,1785919177.488526,unity,trial,trial_end,1,scene=Game_Simulation3D | unity_ts=1785919177.415039 | recv_ts=1785919177.488526 | seq=22 | transport_ms=73.487 | info=simulation
33.6843,1785919180.930035,matlab,phase,phase_b_end,2,
33.6847,1785919180.930453,matlab,trial,trial_end,2,
33.6873,1785919180.932999,matlab,phase,phase_a_start,3,dur=5s | send_seq=384
33.7012,1785919180.946903,matlab,trial,trial_start,3,
33.7171,1785919180.962818,unity,sync,phase_ack,0,scene=Game_Simulation3D | unity_ts=1785919180.946244 | recv_ts=1785919180.962818 | seq=23 | transport_ms=16.574 | info=A
33.7171,1785919180.962818,system,latency,phase_ack_transport_ms,16.5744,phase=A trial=3 ack_seq=23 unity_phase=A
33.7171,1785919180.962818,system,latency,phase_ack_latency_ms,29.8190,phase=A trial=3 send_seq=384 ack_seq=23 unity_phase=A
38.7360,1785919185.981730,matlab,phase,phase_a_end,3,
38.7373,1785919185.983040,matlab,phase,phase_b_start,3,dur=10s | send_seq=449
38.7666,1785919186.012292,unity,trial,trial_start,3,scene=Game_Simulation3D | unity_ts=1785919185.996210 | recv_ts=1785919186.012292 | seq=24 | transport_ms=16.082 | info=simulation
38.7670,1785919186.012749,unity,marker,aim_start,0.6500,scene=Game_Simulation3D | unity_ts=1785919185.996210 | recv_ts=1785919186.012749 | seq=25 | transport_ms=16.539 | info=simulation
38.7674,1785919186.013117,unity,sync,phase_ack,1,scene=Game_Simulation3D | unity_ts=1785919185.996210 | recv_ts=1785919186.013117 | seq=26 | transport_ms=16.907 | info=B
38.7674,1785919186.013117,system,latency,phase_ack_transport_ms,16.9070,phase=B trial=3 ack_seq=26 unity_phase=B
38.7674,1785919186.013117,system,latency,phase_ack_latency_ms,30.0767,phase=B trial=3 send_seq=449 ack_seq=26 unity_phase=B
45.1396,1785919192.385312,unity,marker,state_dropped,0.6497,scene=Game_Simulation3D | unity_ts=1785919192.307638 | recv_ts=1785919192.385312 | seq=27 | transport_ms=77.674 | info=simulation
47.1786,1785919194.424264,unity,marker,state_above_threshold,0.8754,scene=Game_Simulation3D | unity_ts=1785919194.352407 | recv_ts=1785919194.424264 | seq=28 | transport_ms=71.857 | info=simulation
47.1789,1785919194.424605,unity,marker,auto_fire,7,scene=Game_Simulation3D | unity_ts=1785919194.352407 | recv_ts=1785919194.424605 | seq=29 | transport_ms=72.198 | info=simulation
47.1792,1785919194.424869,unity,trial,trial_end,1,scene=Game_Simulation3D | unity_ts=1785919194.352407 | recv_ts=1785919194.424869 | seq=30 | transport_ms=72.462 | info=simulation
48.8115,1785919196.057163,matlab,phase,phase_b_end,3,
48.8121,1785919196.057791,matlab,trial,trial_end,3,
48.8127,1785919196.058443,matlab,phase,phase_a_start,4,dur=5s | send_seq=578
48.8274,1785919196.073149,matlab,trial,trial_start,4,
48.8439,1785919196.089609,unity,sync,phase_ack,0,scene=Game_Simulation3D | unity_ts=1785919196.073306 | recv_ts=1785919196.089609 | seq=31 | transport_ms=16.303 | info=A
48.8439,1785919196.089609,system,latency,phase_ack_transport_ms,16.3028,phase=A trial=4 ack_seq=31 unity_phase=A
48.8439,1785919196.089609,system,latency,phase_ack_latency_ms,31.1658,phase=A trial=4 send_seq=578 ack_seq=31 unity_phase=A
53.8606,1785919201.106256,matlab,phase,phase_a_end,4,
53.8609,1785919201.106650,matlab,phase,phase_b_start,4,dur=10s | send_seq=643
53.8935,1785919201.139205,unity,trial,trial_start,4,scene=Game_Simulation3D | unity_ts=1785919201.122793 | recv_ts=1785919201.139205 | seq=32 | transport_ms=16.412 | info=simulation
53.8938,1785919201.139536,unity,marker,aim_start,0.6500,scene=Game_Simulation3D | unity_ts=1785919201.122793 | recv_ts=1785919201.139536 | seq=33 | transport_ms=16.743 | info=simulation
53.8941,1785919201.139824,unity,sync,phase_ack,1,scene=Game_Simulation3D | unity_ts=1785919201.122793 | recv_ts=1785919201.139824 | seq=34 | transport_ms=17.031 | info=B
53.8941,1785919201.139824,system,latency,phase_ack_transport_ms,17.0312,phase=B trial=4 ack_seq=34 unity_phase=B
53.8941,1785919201.139824,system,latency,phase_ack_latency_ms,33.1740,phase=B trial=4 send_seq=643 ack_seq=34 unity_phase=B
63.8764,1785919211.122095,matlab,phase,phase_b_end,4,
63.8769,1785919211.122652,matlab,trial,trial_end,4,
64.1142,1785919211.359955,unity,sync,session_stop_ack,0,unity_ts=1785919211.202241 | recv_ts=1785919211.359955 | seq=35 | info=finalize
64.1142,1785919211.359955,system,latency,session_stop_ack_transport_ms,157.7137,ack_seq=35 reason=finalize
64.1142,1785919211.359955,system,latency,session_stop_ack_latency_ms,167.6459,send_seq=772 ack_seq=35 reason=finalize
64.1253,1785919211.370994,matlab,phase,phase_b_end,4,session_finalize
64.1256,1785919211.371320,matlab,trial,trial_end,4,session_finalize
