t_session_sec,abs_ts,phase_rec,trial_idx_rec,relaxation_rec,relaxation_pct_rec,relaxation_window_open_rec,alpha_power_rec,beta1_power_rec,beta2_power_rec
4.5107,1785919311.929730,A,1,0.0988,0.0175,0,1.2641,0.2681,0.4106
4.5899,1785919312.009151,A,1,0.0744,0.0172,0,1.1700,0.2561,0.4246
4.6669,1785919312.086498,A,1,0.0571,0.0169,0,1.1418,0.2627,0.4159
4.7470,1785919312.165860,A,1,0.0450,0.0167,0,1.1264,0.2689,0.4064
4.8249,1785919312.244199,A,1,0.0561,0.0820,0,1.2158,0.3006,0.3550
4.9050,1785919312.324097,A,1,0.0586,0.0645,0,1.1686,0.2755,0.3966
4.9830,1785919312.401817,A,1,0.0648,0.0794,0,1.2203,0.2702,0.3998
5.0630,1785919312.482319,A,1,0.0782,0.1094,0,1.2520,0.2562,0.4150
5.1560,1785919312.574881,B,1,0.1194,0.2154,0,1.3925,0.2741,0.3963
5.2366,1785919312.655964,B,1,0.1245,0.1364,0,1.3643,0.2482,0.4460
5.3143,1785919312.733394,B,1,0.1498,0.2090,0,1.3745,0.2583,0.4184
5.3944,1785919312.813526,B,1,0.1269,0.0735,0,1.2615,0.2210,0.4703
5.4723,1785919312.892105,B,1,0.1584,0.2319,0,1.3436,0.2929,0.3789
5.5513,1785919312.970210,B,1,0.1195,0.0286,0,1.2112,0.2602,0.4454
5.6293,1785919313.048530,B,1,0.1132,0.0986,0,1.1991,0.2681,0.4007
5.7065,1785919313.125986,B,1,0.0834,0.0139,0,1.1045,0.2523,0.4260
5.7856,1785919313.204548,B,1,0.0625,0.0137,0,1.0805,0.2470,0.4326
5.8635,1785919313.282356,B,1,0.0681,0.0811,0,1.1445,0.2657,0.4120
5.9439,1785919313.363077,B,1,0.0676,0.0667,0,1.1497,0.2384,0.4378
6.0237,1785919313.442646,B,1,0.0592,0.0395,0,1.1816,0.2280,0.4628
6.1028,1785919313.522279,B,1,0.0882,0.1558,0,1.2755,0.2539,0.4419
6.1812,1785919313.600547,B,1,0.1348,0.2436,0,1.3365,0.2541,0.4289
6.2603,1785919313.679767,B,1,0.1969,0.3418,0,1.3828,0.2611,0.4117
6.3392,1785919313.758219,B,1,0.2466,0.3625,0,1.4082,0.2734,0.3954
6.4177,1785919313.836931,B,1,0.2689,0.3210,0,1.3684,0.2746,0.4002
6.4963,1785919313.915267,B,1,0.2029,0.0488,0,1.2016,0.2330,0.4632
6.5752,1785919313.994092,B,1,0.1818,0.1325,0,1.1860,0.2633,0.4184
6.6532,1785919314.072432,B,1,0.1344,0.0238,0,1.1174,0.2600,0.4350
6.7315,1785919314.150357,B,1,0.1329,0.1294,0,1.1441,0.2710,0.4070
6.8093,1785919314.228285,B,1,0.0965,0.0116,0,1.0735,0.2452,0.4598
6.8885,1785919314.307980,B,1,0.0882,0.0690,0,1.1277,0.2605,0.4165
6.9656,1785919314.384506,B,1,0.1300,0.2273,0,1.2086,0.2770,0.3933
7.0446,1785919314.464069,B,1,0.1483,0.1910,0,1.2169,0.2440,0.4393
7.1239,1785919314.543064,B,1,0.2105,0.3556,0,1.3429,0.2666,0.4019
7.2028,1785919314.621760,B,1,0.2891,0.4725,0,1.4370,0.2818,0.3950
7.2817,1785919314.701074,B,1,0.2969,0.3152,0,1.3552,0.2450,0.4353
7.3600,1785919314.779281,B,1,0.2949,0.2903,0,1.3634,0.2657,0.4311
7.4391,1785919314.858165,B,1,0.2799,0.2447,0,1.2681,0.2532,0.4310
7.5180,1785919314.937032,B,1,0.2433,0.1579,0,1.2045,0.2429,0.4471
7.5970,1785919315.016019,B,1,0.1859,0.0521,0,1.1585,0.2475,0.4400
