mode,phase_mean,phase_mean,phase_mean,phase_mean,phase_mean,phase_mean,phase_std,phase_std,phase_std,phase_std,phase_std,phase_std,phase_min,phase_min,phase_min,phase_min,phase_min,phase_min,phase_median,phase_median,phase_median,phase_median,phase_median,phase_median,phase_max,phase_max,phase_max,phase_max,phase_max,phase_max,stop_mean,stop_mean,stop_mean,stop_mean,stop_mean,stop_mean,duration_sec,duration_sec,duration_sec,duration_sec,duration_sec,duration_sec
,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max
attention,1,54.1741,,54.1741,54.1741,54.1741,1,59.5743,,59.5743,59.5743,59.5743,1,27.7021,,27.7021,27.7021,27.7021,1,32.782,,32.782,32.782,32.782,1,201.225,,201.225,201.225,201.225,1,169.1418,,169.1418,169.1418,169.1418,1,64.17231583595276,,64.17231583595276,64.17231583595276,64.17231583595276
monitor,1,64.6459,,64.6459,64.6459,64.6459,1,1.9099,,1.9099,1.9099,1.9099,1,62.99,,62.99,62.99,62.99,1,64.334,,64.334,64.334,64.334,1,68.9952,,68.9952,68.9952,68.9952,1,172.6041,,172.6041,172.6041,172.6041,1,64.34309911727905,,64.34309911727905,64.34309911727905,64.34309911727905
relax,1,33.0694,,33.0694,33.0694,33.0694,1,1.5623,,1.5623,1.5623,1.5623,1,31.8351,,31.8351,31.8351,31.8351,1,32.5565,,32.5565,32.5565,32.5565,1,36.6628,,36.6628,36.6628,36.6628,1,174.0129,,174.0129,174.0129,174.0129,1,64.71909785270691,,64.71909785270691,64.71909785270691,64.71909785270691
simulation,1,45.7733,,45.7733,45.7733,45.7733,1,28.9755,,28.9755,28.9755,28.9755,1,29.819,,29.819,29.819,29.819,1,34.9715,,34.9715,34.9715,34.9715,1,115.854,,115.854,115.854,115.854,1,167.6459,,167.6459,167.6459,167.6459,1,64.16815090179443,,64.16815090179443,64.16815090179443,64.16815090179443
