mode,ack_type,count,mean,std,min,median,max
attention,Phase ACK,8,54.174125,59.5743094761432,27.7021,32.782,201.225
attention,Stop ACK,1,169.1418,,169.1418,169.1418,169.1418
monitor,Phase ACK,8,64.6459375,1.909887627163662,62.99,64.33404999999999,68.9952
monitor,Stop ACK,1,172.6041,,172.6041,172.6041,172.6041
relax,Phase ACK,8,33.0693875,1.562295832089519,31.8351,32.55655,36.6628
relax,Stop ACK,1,174.0129,,174.0129,174.0129,174.0129
simulation,Phase ACK,8,45.7733125,28.975520989199413,29.819,34.971450000000004,115.854
simulation,Stop ACK,1,167.6459,,167.6459,167.6459,167.6459
